# Example input file for the program fit-layer.
#
# The input file consists of two sections.
#
# The first section specifies parameters:
#   - Lines beginning with # are comments and are ignored by fit-layer.
#
#   - The format of each non-comment line is
#       <parameter> = <value> [optional text]
#
#   - The optional text is ignored by fit-layer.
#
#   - Units are always m^2/s for dfree, nA for current, s for duration,
#     and microns for distance -- no matter what the optional text says.
#
#   - Positions are specified relative to the source,
#     i.e. the source is at the origin.
#
#   - The default parameter values for any parameters not specified
#     here or on the command line are taken from fit-layer.c. 
#
#   - Parameter values specified on the command line override the
#     values specified in the input file.
#
#   - If the input file was created in Windows, you should convert
#     the file to Unix format, for example with dos2unix. Otherwise
#     the comment lines in the output file (copied from the input file)
#     could have ^M control characters (carriage returns) at the end.
#
# Two blank lines separate the first section from the second.
#
# The second section has the RTI data, in columns:
#   - 1st column is time (s)
#   - 2nd column is concentration (mM)
#   - Any other columns are ignored by fit-layer
#   - Columns are separated by whitespace
#   - The first line of the second section is the header
# -----------------------------
# Parameters at their default values for this example:
# dfree = 1.24e-09 m^2/s = free diffusion coefficient
# rmax = 1000.0 microns = radius of cylinder
# zmax = 2000.0 microns = height of cylinder
# probe_z = 120.0 microns = z-position of probe, relative to source
# probe_r = 0.0 microns = r-position of probe, relative to source
# nolayer = 0 (= FALSE) = flag for no SP layer (homogeneous environment)
# When nolayer = 1, SR values for alpha, theta, and kappa are used
# delay = 10.0 s = delay before source begins
# duration = 50.0 s = duration of source
# tmax = 150.0 s = total diffusion time
# nt_scale = 1.0 = scale factor for nt (for increasing time resolution)
# -----------------------------
# Parameters whose defaults depend on the values of other parameters:
# ez1 = 0.5 * (lz1 + lz2 - zmax)
#     = z-location of bottom of cylinder in microns
# ez2 = 0.5 * (lz1 + lz2 + zmax)
#     = z-location of top of cylinder in microns
# ez1, ez2 defaults chosen to center midplane of SP layer in cylinder
# nt = tmax/dt = number of time-steps
# Time-step spacing dt chosen to satisfy von Neumann stability criterion
nr = 250 = number of grid points in r direction; default = 500
nz = 500 = number of grid points in z direction; default = 1000
lz1 = 35 microns = z-location of SP layer bottom; default = -25 microns
lz2 = 85 microns = z-location of SP layer top; default = 25 microns
alpha_so = 0.20 = EC volume fraction in SO layer; default is 0.218
theta_so = 0.40 = permeability in SO layer; default = 0.447
kappa_so = 0.0 s^-1 = nonsp. clearance factor in SO; default = 0.007 s^-1
alpha_sr = 0.20 = EC volume fraction in SR layer; default is 0.218
theta_sr = 0.40 = permeability in SR layer; default = 0.447
kappa_sr = 0.0 s^-1 = nonsp. clearance factor in SR; default = 0.007 s^-1
current = 90 nA = source amplitude; default = 80 nA
trn = 0.3 = transport number of source electrode; default = 0.35


    time      	  c (3-layer model) 	  c (characteristic curve) 
   0.0000000	   0.0000000	   0.0000000
  0.15000000	   0.0000000	   0.0000000
  0.30000000	   0.0000000	   0.0000000
  0.45000000	   0.0000000	   0.0000000
  0.60000000	   0.0000000	   0.0000000
  0.75000000	   0.0000000	   0.0000000
  0.90000000	   0.0000000	   0.0000000
   1.0500000	   0.0000000	   0.0000000
   1.2000000	   0.0000000	   0.0000000
   1.3500000	   0.0000000	   0.0000000
   1.5000000	   0.0000000	   0.0000000
   1.6500000	   0.0000000	   0.0000000
   1.8000000	   0.0000000	   0.0000000
   1.9500000	   0.0000000	   0.0000000
   2.1000000	   0.0000000	   0.0000000
   2.2500000	   0.0000000	   0.0000000
   2.4000000	   0.0000000	   0.0000000
   2.5500000	   0.0000000	   0.0000000
   2.7000000	   0.0000000	   0.0000000
   2.8500000	   0.0000000	   0.0000000
   3.0000000	   0.0000000	   0.0000000
   3.1500000	   0.0000000	   0.0000000
   3.3000000	   0.0000000	   0.0000000
   3.4500000	   0.0000000	   0.0000000
   3.6000000	   0.0000000	   0.0000000
   3.7500000	   0.0000000	   0.0000000
   3.9000000	   0.0000000	   0.0000000
   4.0500000	   0.0000000	   0.0000000
   4.2000000	   0.0000000	   0.0000000
   4.3500000	   0.0000000	   0.0000000
   4.5000000	   0.0000000	   0.0000000
   4.6500000	   0.0000000	   0.0000000
   4.8000000	   0.0000000	   0.0000000
   4.9500000	   0.0000000	   0.0000000
   5.1000000	   0.0000000	   0.0000000
   5.2500000	   0.0000000	   0.0000000
   5.4000000	   0.0000000	   0.0000000
   5.5500000	   0.0000000	   0.0000000
   5.7000000	   0.0000000	   0.0000000
   5.8500000	   0.0000000	   0.0000000
   6.0000000	   0.0000000	   0.0000000
   6.1500000	   0.0000000	   0.0000000
   6.3000000	   0.0000000	   0.0000000
   6.4500000	   0.0000000	   0.0000000
   6.6000000	   0.0000000	   0.0000000
   6.7500000	   0.0000000	   0.0000000
   6.9000000	   0.0000000	   0.0000000
   7.0500000	   0.0000000	   0.0000000
   7.2000000	   0.0000000	   0.0000000
   7.3500000	   0.0000000	   0.0000000
   7.5000000	   0.0000000	   0.0000000
   7.6500000	   0.0000000	   0.0000000
   7.8000000	   0.0000000	   0.0000000
   7.9500000	   0.0000000	   0.0000000
   8.1000000	   0.0000000	   0.0000000
   8.2500000	   0.0000000	   0.0000000
   8.4000000	   0.0000000	   0.0000000
   8.5500000	   0.0000000	   0.0000000
   8.7000000	   0.0000000	   0.0000000
   8.8500000	   0.0000000	   0.0000000
   9.0000000	   0.0000000	   0.0000000
   9.1500000	   0.0000000	   0.0000000
   9.3000000	   0.0000000	   0.0000000
   9.4500000	   0.0000000	   0.0000000
   9.6000000	   0.0000000	   0.0000000
   9.7500000	   0.0000000	   0.0000000
   9.9000000	   0.0000000	   0.0000000
   10.050000	   0.0000000	1.8412862e-78
   10.200000	3.5726540e-18	2.9604164e-20
   10.350000	3.7614350e-11	4.2878519e-12
   10.500000	2.8074723e-08	8.0876750e-09
   10.650000	1.1163753e-06	4.8054233e-07
   10.800000	1.1782309e-05	6.2729421e-06
   10.950000	6.0765141e-05	3.6800334e-05
